"Deck1","Deck2","Winner","JobId","LogFile"
"Deck_999.dck","Deck_998.dck","Deck_998.dck","1","Job1_Deck_999.dck_vs_Deck_998.dck.log"
"Deck_999.dck","Deck_998.dck","Deck_998.dck","3","Job3_Deck_999.dck_vs_Deck_998.dck.log"
