MatchId,Player1,Player2,Deck1,Deck2,Winner,Turns,WinReason,DNF
Match-21,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,13,AllOpponentsLost,false
Match-33,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-36,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,7,AllOpponentsLost,false
Match-34,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-29,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,14,AllOpponentsLost,false
Match-39,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-35,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-38,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-37,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-25,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,19,AllOpponentsLost,false
Match-40,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-42,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-45,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-41,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
